p1,p2,p3,p4,p5,p6,i1,i2,i3,i4,i5,i6
カバルドン,ザシアン,カイオーガ,サンダー電,ウーラオス悪,ドラパルト,オボンのみ,くちたけん,とつげきチョッキ,アッキのみ,きあいのタスキ,いのちのたま
バドレックス黒,サンダー電,ウーラオス悪,ガブリアス,ラッキー,ザシアン,いのちのたま,ゴツゴツメット,こだわりハチマキ,きあいのタスキ,しんかのきせき,くちたけん
ザシアン,ディアルガ,サンダー電,ガマゲロゲ,メタモン,ウーラオス悪,くちたけん,とつげきチョッキ,アッキのみ,いのちのたま,こだわりスカーフ,きあいのタスキ
バドレックス黒,ザシアン,ウーラオス悪,ナマコブシ,ラッキー,ガマゲロゲ,きあいのタスキ,くちたけん,こだわりハチマキ,ゴツゴツメット,しんかのきせき,いのちのたま
ザシアン,カイオーガ,ウーラオス悪,ポリゴン２,カバルドン,サンダー電,くちたけん,いのちのたま,こだわりハチマキ,しんかのきせき,たつじんのおび,ゴツゴツメット
バドレックス黒,ザシアン,ガマゲロゲ,ウーラオス悪,ナマコブシ,ランドロス霊,きあいのタスキ,くちたけん,いのちのたま,こだわりハチマキ,ゴツゴツメット,とつげきチョッキ
ザシアン,バドレックス黒,ランドロス霊,ウーラオス悪,ハピナス,ヌオー,くちたけん,きあいのタスキ,いのちのたま,こだわりハチマキ,ばんのうがさ,ゴツゴツメット
バシャーモ,ウオノラゴン,ザシアン,マンムー,ウーラオス悪,サンダー電,フィラのみ,ラムのみ,くちたけん,きあいのタスキ,とつげきチョッキ,ゴツゴツメット
カバルドン,ウツロイド,ナットレイ,カイリュー,ヤドキング毒超,ウーラオス悪,アッキのみ,パワフルハーブ,たべのこし,あつぞこブーツ,くろいヘドロ,こだわりハチマキ
ゴチルゼル,マンムー,ムゲンダイナ,ウーラオス悪,ゴリランダー,ヌオー,カゴのみ,きあいのタスキ,パワフルハーブ,こだわりスカーフ,いのちのたま,たべのこし
ムゲンダイナ,ミミッキュ,パルシェン,ゴチルゼル,ヌオー,ウーラオス悪,パワフルハーブ,いのちのたま,きあいのタスキ,こだわりスカーフ,ゴツゴツメット,こだわりハチマキ
ムゲンダイナ,ハッサム,ゴリランダー,ランドロス霊,ウーラオス悪,ウオノラゴン,いのちのたま,ゴツゴツメット,とつげきチョッキ,こだわりスカーフ,きあいのタスキ,こだわりハチマキ
ゲンガー,ランドロス霊,ザシアン,ウーラオス悪,スイクン,サンダー電,こだわりスカーフ,とつげきチョッキ,くちたけん,きあいのタスキ,カゴのみ,ゴツゴツメット
タチフサグマ,ゼルネアス,ウーラオス悪,ゴリランダー,クレッフィ,メタモン,こだわりスカーフ,パワフルハーブ,こだわりハチマキ,とつげきチョッキ,ゴツゴツメット,きあいのタスキ
ザシアン,ウーラオス悪,バンギラス,マッシブーン,トリトドン,シャンデラ,くちたけん,こだわりハチマキ,とつげきチョッキ,ゴツゴツメット,オボンのみ,たべのこし
ザシアン,ヒードラン,ウーラオス悪,サンダー電,ロトム水,メタモン,くちたけん,ふうせん,こだわりハチマキ,ゴツゴツメット,とつげきチョッキ,こだわりスカーフ
ザシアン,ランドロス霊,ミロカロス,ラティアス,ウーラオス悪,マンムー,くちたけん,ゴツゴツメット,かえんだま,だっしゅつパック,こだわりスカーフ,きあいのタスキ
ルナアーラ,ウーラオス悪,ガマゲロゲ,バルジーナ,コータス,ピクシー,パワフルハーブ,とつげきチョッキ,メトロノーム,あつぞこブーツ,カゴのみ,タラプのみ
バドレックス黒,カプ・レヒレ,サンダー電,ゴリランダー,ウーラオス悪,ヒードラン,きあいのタスキ,こだわりメガネ,ゴツゴツメット,とつげきチョッキ,こだわりスカーフ,たべのこし
ホウオウ,ドヒドイデ,バンギラス,ヌオー,ランターン,ウーラオス悪,あつぞこブーツ,くろいヘドロ,たべのこし,ゴツゴツメット,とつげきチョッキ,こだわりハチマキ
ザシアン,ドヒドイデ,ランドロス霊,ウーラオス悪,ポリゴン２,ラティアス,くちたけん,くろいヘドロ,こだわりスカーフ,こだわりハチマキ,しんかのきせき,ラムのみ
アシレーヌ,ウーラオス悪,ヒードラン,テッカグヤ,ヌオー,ムゲンダイナ,とつげきチョッキ,こだわりスカーフ,ふうせん,じゃくてんほけん,たべのこし,くろいヘドロ
ザシアン,ランドロス霊,ウオノラゴン,ウーラオス悪,ゴチルゼル,ポリゴン２,くちたけん,ゴツゴツメット,こだわりハチマキ,きあいのタスキ,カゴのみ,しんかのきせき
カイオーガ,ナットレイ,サンダー電,カイリュー,ウーラオス悪,ミミッキュ,たべのこし,ヨプのみ,こだわりスカーフ,たつじんのおび,きあいのタスキ,いのちのたま
バドレックス黒,ウーラオス悪,ランドロス霊,サンダー電,ピクシー,ヒードラン,こだわりスカーフ,こだわりハチマキ,オボンのみ,ゴツゴツメット,タラプのみ,たべのこし
