,importance
vsゴリランダー,47.2
vsマンムー,42.6
vsウーラオス悪,42.0
vsバンギラス,37.8
vsヌケニン,36.0
vsカバルドン,35.6
vsドラパルト,35.2
vsムゲンダイナ,34.4
vsウーラオス水,33.6
vsオーロンゲ,33.4
vsネクロズマ日,32.6
vsイベルタル,31.4
みず,29.0
vsキュレム白,28.6
vsホウオウ,26.2
vsヒヒダルマ氷,26.0
ノーマル,24.4
vsカプ・レヒレ,24.2
あく,23.8
サンダー電,22.8
ザシアン,22.2
vsウオノラゴン,22.2
vsジガルデ,22.0
ポリゴン２,21.6
vsテッカグヤ,21.0
vsミミッキュ,20.4
vsエースバーン,20.4
vsザシアン,19.6
カバルドン,18.4
はがね,18.2
vsバドレックス黒,18.0
vsゼルネアス,17.6
パッチラゴン,17.4
ひこう,17.0
ミミッキュ,16.8
vsラプラス,16.4
vsブラッキー,15.8
ドラゴン,15.8
エスパー,15.4
どく,14.2
vsサンダー電,14.0
ゴースト,13.8
vsランドロス霊,13.4
ウオノラゴン,13.0
ドリュウズ,11.4
トゲキッス,10.4
じめん,9.8
ほのお,9.6
vsカイオーガ,9.2
