p1,p2,p3,p4,p5,p6
バドレックス黒,ナットレイ,バンギラス,ドリュウズ,サンダー電,ウーラオス水
キュウコン氷妖,サンダー電,ドサイドン,エースバーン,ポリゴン２,ウーラオス水
イベルタル,ネクロズマ日,カプ・レヒレ,ラッキー,メタモン,ウーラオス水
イベルタル,ザシアン,サンダー電,ランドロス霊,ドラパルト,ウーラオス水
テッカグヤ,ムゲンダイナ,テッカニン,メタモン,ザシアン,ウーラオス水
ランドロス霊,オーロンゲ,キュレム黒,ザシアン,カプ・レヒレ,ウーラオス水
サンダー電,ランドロス霊,ミミッキュ,ナットレイ,ウツロイド,ウーラオス水
ゼクロム,カイオーガ,ヌケニン,ラッキー,ドククラゲ,ウーラオス水
サンダー電,ラグラージ,ミミッキュ,ドラパルト,ポリゴン２,ウーラオス水
ムゲンダイナ,ザシアン,ランドロス霊,テッカグヤ,メタモン,ウーラオス水
ムゲンダイナ,ザシアン,ランドロス霊,テッカグヤ,メタモン,ウーラオス水
イベルタル,ギルガルド,ウツロイド,サンダー電,カプ・レヒレ,ウーラオス水
ザシアン,イベルタル,ハピナス,ヌオー,ランドロス霊,ウーラオス水
ザシアン,イベルタル,ハピナス,ヌオー,ランドロス霊,ウーラオス水
ザシアン,ムゲンダイナ,ハピナス,ヌオー,ランドロス霊,ウーラオス水
ザシアン,ムゲンダイナ,ハピナス,ヌオー,ランドロス霊,ウーラオス水
エルフーン,ガオガエン,カイリュー,レジエレキ,カブトプス,ウーラオス水
ザシアン,イベルタル,サンダー電,トリトドン,ミミッキュ,ウーラオス水
ナマコブシ,オーロンゲ,ドリュウズ,バドレックス黒,ゼクロム,ウーラオス水
バチンウニ,オーロンゲ,マニューラ,バドレックス黒,ゼクロム,ウーラオス水
キュレム白,ランドロス霊,シャンデラ,バドレックス黒,ヒヒダルマ氷,ウーラオス水
レックウザ,イベルタル,ギルガルド,ストリンダー低,メタモン,ウーラオス水
テッカニン,ボスゴドラ,アチャモ,カイオーガ,ゼルネアス,ウーラオス水
ネクロズマ日,サンダー電,エースバーン,メタモン,カイオーガ,ウーラオス水
ネクロズマ日,ゼルネアス,ナットレイ,ポリゴン２,サンダー電,ウーラオス水
サンダー電,ラグラージ,ミミッキュ,ドラパルト,ポリゴン２,ウーラオス水
ザシアン,ジガルデ,サンダー電,マンムー,ガオガエン,ウーラオス水
サンダー電,ネクロズマ日,ブラッキー,ホウオウ,ラグラージ,ウーラオス水
ホウオウ,ヌオー,ナットレイ,メタモン,ムゲンダイナ,ウーラオス水
サンダー電,ネクロズマ日,ブラッキー,ホウオウ,ラグラージ,ウーラオス水
ザシアン,イベルタル,ヌオー,カバルドン,ドリュウズ,ウーラオス水
レックウザ,エースバーン,ブラッキー,ホウオウ,ヒヒダルマ氷,ウーラオス水
レックウザ,ネクロズマ日,エースバーン,ブラッキー,トリトドン,ウーラオス水
ムゲンダイナ,ホウオウ,ヌオー,ナットレイ,メタモン,ウーラオス水
レックウザ,ネクロズマ日,ブラッキー,エースバーン,トリトドン,ウーラオス水
ムゲンダイナ,ホウオウ,ヌオー,ナットレイ,メタモン,ウーラオス水
ディアルガ,ホウオウ,ポリゴン２,レジエレキ,バクガメス,ウーラオス水
