p1,p2,p3,p4,p5,p6
ザシアン,カイオーガ,サンダー電,ラグラージ,ミミッキュ,ウーラオス悪
ザシアン,ヌオー,ラッキー,リザードン,ドラパルト,ウーラオス悪
ザシアン,ヌオー,ラッキー,リザードン,ドラパルト,ウーラオス悪
ザシアン,カイオーガ,ランドロス霊,メタモン,ミミッキュ,ウーラオス悪
ザシアン,ヌオー,ラッキー,リザードン,ドラパルト,ウーラオス悪
サンダー電,ラグラージ,ミミッキュ,ザシアン,カイオーガ,ウーラオス悪
ホウオウ,ランドロス霊,ミミッキュ,バンギラス,ルギア,ウーラオス悪
ウツロイド,ランドロス霊,ドラパルト,サンダー電,カプ・レヒレ,ウーラオス悪
ヌオー,カプ・レヒレ,ドリュウズ,パルキア,エースバーン,ウーラオス悪
ルナアーラ,エースバーン,カプ・レヒレ,ミミッキュ,ゴリランダー,ウーラオス悪
カイオーガ,サンダー電,ネクロズマ日,ランドロス霊,ヒヒダルマ氷,ウーラオス悪
ネクロズマ日,ムゲンダイナ,カプ・コケコ,サンダー電,ランドロス霊,ウーラオス悪
ザシアン,ヌオー,カイオーガ,メタモン,ヌケニン,ウーラオス悪
ボーマンダ,レジエレキ,バドレックス黒,ドラパルト,アーマーガア,ウーラオス悪
ヌオー,カプ・レヒレ,パルキア,ザシアン,ランドロス霊,ウーラオス悪
ゼクロム,ヒヒダルマ氷,ホウオウ,カプ・レヒレ,ガマゲロゲ,ウーラオス悪
カイリュー,ゴリランダー,ヒヒダルマ氷,ザシアン,サンダー電,ウーラオス悪
ザシアン,サンダー電,ウルガモス,カイオーガ,ランドロス霊,ウーラオス悪
ゼルネアス,ネクロズマ日,サンダー電,ウオノラゴン,ランドロス霊,ウーラオス悪
カイオーガ,マンムー,メタモン,ザシアン,カバルドン,ウーラオス悪
ムゲンダイナ,ネクロズマ日,カプ・レヒレ,ランドロス霊,サンダー電,ウーラオス悪
サンダー電,ネクロズマ日,カメックス,レジエレキ,ゼルネアス,ウーラオス悪
レジエレキ,テッカグヤ,ランドロス霊,カプ・レヒレ,ブリザポス,ウーラオス悪
ムゲンダイナ,ネクロズマ日,カプ・レヒレ,ランドロス霊,サンダー電,ウーラオス悪
カイオーガ,ホウオウ,メタモン,ポリゴン２,ミミッキュ,ウーラオス悪
ザシアン,グラードン,ウオノラゴン,ポリゴン２,サンダー電,ウーラオス悪
ゼルネアス,ネクロズマ日,ラッキー,サンダー電,ガマゲロゲ,ウーラオス悪
ゼルネアス,ネクロズマ日,ラッキー,サンダー電,ウオノラゴン,ウーラオス悪
ドヒドイデ,カイオーガ,エンニュート,レパルダス,エルフーン,ウーラオス悪
エンニュート,ガオガエン,ファイヤー悪,オーロンゲ,サザンドラ,ウーラオス悪
メタモン,ミミッキュ,バシャーモ,カイオーガ,ネクロズマ日,ウーラオス悪
ウツロイド,ランドロス霊,ドラパルト,サンダー電,ウオノラゴン,ウーラオス悪
ネクロズマ日,ハピナス,ドヒドイデ,ランドロス霊,サンダー電,ウーラオス悪
ゼクロム,ホウオウ,カイリュー,メタモン,カプ・レヒレ,ウーラオス悪
ザシアン,カイオーガ,サンダー電,ウオノラゴン,カバルドン,ウーラオス悪
ルギア,ザシアン,ポリゴン２,ヒードラン,ヌオー,ウーラオス悪
ギャラドス,ロトム炎,ニドキング,キュレム白,ザシアン,ウーラオス悪
ポリゴン２,ドヒドイデ,ウオノラゴン,サンダー電,ドリュウズ,ウーラオス悪
ドラパルト,レシラム,ザシアン,レジエレキ,ランドロス霊,ウーラオス悪
アシレーヌ,レシラム,サンダー電,ラッキー,ネクロズマ日,ウーラオス悪
ルギア,ザシアン,ポリゴン２,ヒードラン,ヌオー,ウーラオス悪
ルギア,ザシアン,ポリゴン２,ヒードラン,ヌオー,ウーラオス悪
ランドロス霊,ドヒドイデ,ギラティナ,ザシアン,テッカグヤ,ウーラオス悪
ディアルガ,ザシアン,ガマゲロゲ,サンダー電,ヒードラン,ウーラオス悪
ディアルガ,ザシアン,ガマゲロゲ,サンダー電,ヒードラン,ウーラオス悪
アシレーヌ,レシラム,サンダー電,ラッキー,ネクロズマ日,ウーラオス悪
アシレーヌ,レシラム,サンダー電,ラッキー,ネクロズマ日,ウーラオス悪
アシレーヌ,レシラム,サンダー電,ラッキー,ネクロズマ日,ウーラオス悪
ディアルガ,ザシアン,カミツルギ,トリトドン,ランドロス霊,ウーラオス悪
サンダー電,ヌオー,エースバーン,オーロンゲ,ドラパルト,ウーラオス悪
サンダー電,ガブリアス,カイオーガ,ネクロズマ日,ドラパルト,ウーラオス悪
ザシアン,カイオーガ,ミミッキュ,ランドロス霊,サンダー電,ウーラオス悪
ポリゴン２,デンジュモク,フワライド,ゼクロム,ギギギアル,ウーラオス悪
クレッフィ,ゼルネアス,ランドロス霊,サンダー電,ジガルデ,ウーラオス悪
キュレム黒,ザシアン,ガマゲロゲ,ウインディ,オーロンゲ,ウーラオス悪
カイオーガ,ネクロズマ日,サンダー電,カプ・レヒレ,カミツルギ,ウーラオス悪
キュレム白,ザシアン,ガマゲロゲ,ウインディ,オーロンゲ,ウーラオス悪
ルナアーラ,エースバーン,カプ・レヒレ,ミミッキュ,ゴリランダー,ウーラオス悪
サンダー電,カバルドン,ザシアン,カイオーガ,メタモン,ウーラオス悪
メタモン,ネクロズマ日,ゼルネアス,ラプラス,カイリュー,ウーラオス悪
バドレックス黒,ザシアン,ガマゲロゲ,サンダー電,エースバーン,ウーラオス悪
カイオーガ,ザシアン,ラッキー,ヌオー,メタモン,ウーラオス悪
カイオーガ,ガマゲロゲ,ザシアン,ドラパルト,サンダー電,ウーラオス悪
カイオーガ,ネクロズマ日,サンダー電,カプ・レヒレ,カミツルギ,ウーラオス悪
ミュウツー,レックウザ,ドクロッグ,バンギラス,メタモン,ウーラオス悪
カイオーガ,ネクロズマ日,サンダー電,カプ・レヒレ,カミツルギ,ウーラオス悪
カイオーガ,ザシアン,ラッキー,ヌオー,エースバーン,ウーラオス悪
メタモン,ネクロズマ日,ゼルネアス,ラプラス,カイリュー,ウーラオス悪
カイオーガ,ネクロズマ日,サンダー電,カプ・レヒレ,カミツルギ,ウーラオス悪
カイオーガ,ザシアン,メタモン,ランドロス化,ナットレイ,ウーラオス悪
カバルドン,ザシアン,カイオーガ,サンダー電,ミミッキュ,ウーラオス悪
カバルドン,ザシアン,カイオーガ,サンダー電,ミミッキュ,ウーラオス悪
ザシアン,ヌオー,ラプラス,ミミッキュ,カイリュー,ウーラオス悪
パルキア,ザシアン,ナットレイ,エースバーン,カバルドン,ウーラオス悪
ドリュウズ,カイオーガ,ラッキー,サンダー電,ネクロズマ日,ウーラオス悪
ドリュウズ,カイオーガ,ラッキー,サンダー電,ネクロズマ日,ウーラオス悪
ナットレイ,ザシアン,カイオーガ,サンダー電,バシャーモ,ウーラオス悪
ゼクロム,ホウオウ,サンダー電,ヌオー,ハピナス,ウーラオス悪
ジガルデ,ボルトロス化,ミミッキュ,ゼクロム,テッカグヤ,ウーラオス悪
ゼクロム,ホウオウ,サンダー電,ヌオー,ハピナス,ウーラオス悪
パルキア,ザシアン,ナットレイ,エースバーン,カバルドン,ウーラオス悪
ゼルネアス,ムゲンダイナ,ハピナス,ヌオー,ランドロス霊,ウーラオス悪
ザシアン,ガマゲロゲ,レシラム,ウツロイド,テッカグヤ,ウーラオス悪
ウオノラゴン,ザシアン,カイリュー,サンダー電,カイオーガ,ウーラオス悪
ネクロズマ日,ゼルネアス,ミミッキュ,オーロンゲ,サンダー電,ウーラオス悪
フシギバナ,バシャーモ,ライコウ,ギルガルド,ペリッパー,ウーラオス悪
ネクロズマ日,カイオーガ,レジエレキ,サンダー電,ドラパルト,ウーラオス悪
ギャラドス,ナットレイ,サンダー電,ネクロズマ日,ガブリアス,ウーラオス悪
ドリュウズ,カイオーガ,ラッキー,サンダー電,ネクロズマ日,ウーラオス悪
ルギア,メタモン,ゼルネアス,ナットレイ,ランドロス霊,ウーラオス悪
ネクロズマ日,ゼルネアス,ウオノラゴン,オーロンゲ,エースバーン,ウーラオス悪
レックウザ,ザシアン,サンダー電,ガオガエン,マリルリ,ウーラオス悪
バドレックス黒,ゼクロム,カプ・レヒレ,ランドロス霊,メタモン,ウーラオス悪
ザシアン,カイオーガ,ポリゴン２,カバルドン,サンダー電,ウーラオス悪
バドレックス黒,ゼクロム,カプ・レヒレ,ランドロス霊,メタモン,ウーラオス悪
ゼクロム,ホウオウ,ヌオー,ハピナス,カメックス,ウーラオス悪
ネクロズマ日,ゼルネアス,ウオノラゴン,オーロンゲ,ミミッキュ,ウーラオス悪
カバルドン,ザシアン,カイオーガ,サンダー電,ミミッキュ,ウーラオス悪
カバルドン,ザシアン,カイオーガ,サンダー電,ミミッキュ,ウーラオス悪
カバルドン,ザシアン,カイオーガ,サンダー電,ミミッキュ,ウーラオス悪
ポリゴン２,ゼルネアス,サンダー電,ヌオー,ホウオウ,ウーラオス悪
ザシアン,ネクロズマ日,ランドロス霊,サンダー電,カプ・レヒレ,ウーラオス悪
ランドロス霊,ドラパルト,サンダー電,ウオノラゴン,ウツロイド,ウーラオス悪
カイオーガ,ペロリーム,ヌオー,カミツルギ,キュレム白,ウーラオス悪
ザシアン,サンダー電,ヌオー,カイオーガ,ゴチルゼル,ウーラオス悪
カイオーガ,テッカグヤ,メタモン,ゼクロム,オーロンゲ,ウーラオス悪
ネクロズマ日,ゼルネアス,エースバーン,オーロンゲ,ランドロス霊,ウーラオス悪
ネクロズマ日,ゼルネアス,エースバーン,オーロンゲ,ランドロス霊,ウーラオス悪
ラッキー,ランドロス霊,バンギラス,ザシアン,バドレックス黒,ウーラオス悪
カイオーガ,ガマゲロゲ,ゼルネアス,テッカグヤ,ミミッキュ,ウーラオス悪
バチンウニ,カプ・レヒレ,ドリュウズ,バドレックス黒,ゼクロム,ウーラオス悪
ガラガラ炎霊,ランドロス霊,ポリゴン２,ザシアン,バドレックス黒,ウーラオス悪
ウツロイド,ランドロス霊,ドラパルト,サンダー電,カプ・レヒレ,ウーラオス悪
ザシアン,カイオーガ,サンダー電,マンムー,メタモン,ウーラオス悪
カイオーガ,ザシアン,メタモン,マンムー,サンダー電,ウーラオス悪
ザシアン,カバルドン,ウオノラゴン,ポリゴン２,サンダー電,ウーラオス悪
ヌケニン,メタモン,ジガルデ,ザシアン,ウツロイド,ウーラオス悪
ザシアン,ルギア,ヒヒダルマ氷,ポリゴン２,ヌオー,ウーラオス悪
ザシアン,カイオーガ,ランドロス霊,ゴリランダー,メタモン,ウーラオス悪
ディアルガ,ムゲンダイナ,サンダー電,アーマーガア,ヒードラン,ウーラオス悪
ザシアン,サンダー電,ヌオー,カイオーガ,ゴチルゼル,ウーラオス悪
ランドロス霊,レジエレキ,ザシアン,エースバーン,バドレックス黒,ウーラオス悪
ランドロス霊,レジエレキ,ザシアン,エースバーン,バドレックス黒,ウーラオス悪
ハッサム,ウオノラゴン,カバルドン,サンダー電,カプ・テテフ,ウーラオス悪
フリーザー超,ギルガルド,イベルタル,ジガルデ,メタモン,ウーラオス悪
ガマゲロゲ,ザシアン,ホウオウ,メタモン,ナットレイ,ウーラオス悪
ディアルガ,マンムー,ギャラドス,ムゲンダイナ,メタモン,ウーラオス悪
