,importance
vsゴリランダー,29.8
vsマンムー,29.0
vsカバルドン,26.6
vsドラパルト,25.4
vsウーラオス水,25.0
vsイベルタル,24.6
vsオーロンゲ,24.2
vsウーラオス悪,22.8
vsヌケニン,22.0
vsバンギラス,22.0
ノーマル,20.8
vsネクロズマ日,20.8
vsキュレム白,20.2
ザシアン,19.8
みず,19.6
vsホウオウ,19.0
パッチラゴン,18.8
vsザシアン,18.4
vsカプ・レヒレ,18.0
あく,17.6
サンダー電,17.2
vsヒヒダルマ氷,16.2
vsバドレックス黒,16.0
vsテッカグヤ,16.0
vsムゲンダイナ,16.0
vsゼルネアス,15.8
ポリゴン２,15.6
vsミミッキュ,15.4
vsエースバーン,15.2
vsブラッキー,14.6
vsジガルデ,14.6
はがね,14.2
vsランドロス霊,13.8
エスパー,13.6
vsサンダー電,13.6
vsラプラス,13.4
vsウオノラゴン,13.2
ミミッキュ,12.6
ひこう,12.0
カバルドン,11.4
ドラゴン,11.2
ウオノラゴン,9.8
ほのお,8.6
ゴースト,8.2
じめん,7.6
vsカイオーガ,7.6
ドリュウズ,7.6
どく,7.2
トゲキッス,6.8
